outDryBulbTemp,outHumidityRatio,outRelHumidity,directSolarRad,solAzimAngle,solAltAngle,zoneMeanAirTemp,setpoint,month,hour,totCLG
20,0.0104712182534636,70,0,1.26836028707906,-26.4046838115507,22.9670793036268,22.9670793036258,6,0,0
16.1,0.00698439188782075,60,0,16.5680198809395,-24.6615121081357,22.6393577521812,22.6393577521762,6,1,0
15,0.00705184544094009,65,0,30.8065834430506,-20.1478123928666,21.7539878502869,21.7539878502868,6,2,0
13.9,0.00697079926661029,69,0,43.4995694730859,-13.3695051537149,21.1204691536711,21.1204691536657,6,3,0
13.3,0.00699544649179717,72,0,54.678810374575,-4.89515425739389,21.7001262376441,21.7001262377211,6,4,0
13.3,0.00699544649179717,72,148,64.6812117481755,4.77864883705455,22.0833388086541,22.0833388087496,6,5,0
13.9,0.0068686575378168,68,465,73.9772769799116,15.2597185078003,22.9003651050358,22.9003651050371,6,6,0
15,0.00694214461558054,64,668.5,83.1293796409549,26.2362428893309,23.958294288666,23.9582942886661,6,7,0
16.8833333333333,0.00689182573286344,56.3333333333333,589.666666666667,94.6414103235671,39.291643935948,23.2712518246472,23.2712518246673,6,9,0.176570107124091
18.2666666666667,0.0068977020017497,51.6666666666667,663,106.703700462803,50.2984966482568,23.6589720325565,23.6589843288913,6,10,0.387837271888419
20.9666666666667,0.00694758680811116,44,698.666666666667,123.622666743094,60.4576891857349,22.4166954039125,22.4166895784909,6,11,1.82548350865319
23.0666666666667,0.00687915460941264,38.3333333333333,589.333333333333,150.823942121767,68.1619121866036,21.4776459428789,21.4767405782182,6,12,3.48048799355669
24.7,0.0068295572880098,34.5,613.25,193.525394260288,69.8854675432897,23.4327619703946,23.4327623569461,6,13,3.88504639269498
25.725,0.00689163600473146,32.75,549.25,226.599834494164,64.1468858602321,22.4298915318158,22.4295232581508,6,14,4.59083140260841
26.1,0.00693929584417299,32.25,605.5,247.023851018561,54.7281573434198,21.3496949441441,21.3488625967385,6,15,5.22455133126403
25.9333333333333,0.00710389007987025,33.3333333333333,596.5,261.628279314373,43.0416584900193,23.6271617359801,23.6271618383539,6,16,4.38775940221268
25.2,0.00707300060241776,34.6666666666667,344.833333333333,272.095918404843,31.8606707797456,22.9056244855845,22.905559138389,6,17,2.87850469912604
23.9416666666667,0.00704881066684269,37.25,177.75,282.198029024024,19.8259335434403,21.2918440473262,21.2918440472749,6,18,1.8436964854117
22.2,0.00715401862522898,42,82,292.135859341586,8.23410537806306,23.7253183687189,23.7253183687189,6,19,0.906262267741026
20.1083333333333,0.0071784707355562,47.9166666666667,0,302.69284020659,-2.54049434725434,21.1050480645309,21.1050480645309,6,20,0.147677663614518
18.7583333333333,0.00720887150097551,52.3333333333333,0,313.534794397496,-11.3615176013891,21.1192490822381,21.1192490823384,6,21,0
17.5666666666667,0.00724306076545654,56.6666666666667,0,326.921661119118,-19.1392604088814,23.9657036736694,23.9657036736788,6,22,0.0149460850623852
16.4666666666667,0.00731228872110994,61.3333333333333,0,340.915559710665,-24.0779219177288,23.0585447960776,23.058544795381,6,23,0
16.1,0.00733773135675463,63,0,3.93583266099639,-26.1791431992938,22.1300675784983,22.1300675782141,6,0,0
15.7666666666667,0.00741191575213132,65,0,11.4836502558516,-25.4389509049621,22.5129727395068,22.5129727583966,6,1,0
15.2,0.00740375427874837,67.3333333333333,0,26.133247675261,-21.8154788253449,23.290487025073,23.2904870378613,6,2,0
14.175,0.00738398253807678,71.75,0,40.3718046099043,-15.1449730686818,21.146624390339,21.1466243903385,6,3,0.0713433435461191
13.9,0.00729446708993863,72.1666666666667,0,52.7933608318669,-6.31919268180306,23.1777829697749,23.1777829697816,6,4,0
13.9,0.00727742363641345,72,69.3333333333333,62.9540862626913,3.17233262377452,23.103984195452,23.1039841757941,6,5,0
14.3166666666667,0.00730399860380697,70.3333333333333,287.666666666667,72.3232501225095,13.5328047191261,22.3766724774425,22.3766724774375,6,6,0
15.4,0.00733159955838205,65.8333333333333,528,81.4427514508312,24.4403237472273,22.7468844268653,22.7468844268658,6,7,0
16.5166666666667,0.00727537125281092,60.8333333333333,687,91.0121986181513,35.613867107594,22.0172694038545,22.0172694038545,6,8,0.0267948385671368
18.5333333333333,0.00735881230607328,54.1666666666667,711.333333333333,102.133592460926,46.7388375358834,21.5118762409998,21.5118762409997,6,9,0.59079503699829
20.7333333333333,0.00734607664234803,47.1666666666667,751,116.944077550067,57.3046226139508,22.1975802117002,22.1975802117017,6,10,1.89656779509654
23.1166666666667,0.00729480940136531,40.5,743.166666666667,142.453938011661,66.7270885445935,23.7593315836331,23.7593315836331,6,11,2.50659607713709
25,0.00726021094089571,36,785,183.289622200276,70.4375000176901,21.678136312023,21.6781363119398,6,12,4.35398489205741
26.7,0.00736140815488548,33,758.5,219.803503982863,66.200922482547,22.0830194692509,22.0830200884533,6,13,4.95486774673201
27.8,0.00737591908209504,31,668.5,242.908322212788,57.3869274860919,21.9736863825931,21.9736860382675,6,14,5.49790640117931
27.2,0.0073509713577083,32,665,257.763541455675,46.8291437376018,21.2507470357039,21.250746341004,6,15,5.92744284382368
27.2,0.0073509713577083,32,693.5,268.904470047099,35.7062390708343,22.5379966006847,22.5379966008164,6,16,5.50679843156013
25.6,0.00752717802597914,36,611.5,278.481369721604,24.5316919335313,23.4985944743272,23.4985944743442,6,17,3.51401610819064
23.9,0.00755635159912052,40,397,287.60139855267,13.6208486389725,23.7138404955999,23.7138404956114,6,18,1.88946619057552
22.2,0.00767132249909706,45,113.5,296.966157001104,3.25464615513633,23.1707877368092,23.1707877368092,6,19,0.816959888370865
20.6,0.0075718781950802,49,0,307.118383023099,-6.24556666358737,22.1489874729015,22.1489874729015,6,20,0.0934100978714392
18.9,0.00764893599418982,55,0,318.510590616274,-14.4723316205302,21.8940511679591,21.8940511679591,6,21,0
17.8,0.00765814797964503,59,0,331.442223479502,-20.9146263715004,23.0751349071444,23.0751349071444,6,22,0
16.7,0.00774969161327033,64,0,345.872498530648,-25.0042682017325,23.6413707804399,23.6413707804876,6,23,0
16.1,0.00780946866391747,67,0,1.18569316492773,-26.1367227592884,23.7736449222523,23.7736449228586,6,0,0
15.5,0.00778605161291961,69.4166666666667,0,17.659227524309,-24.1415505366642,22.4093428123819,22.4480190437183,6,2,0.0967914289988244
14.3583333333333,0.00773688367040568,74.25,0,31.7375867354327,-19.4474338893868,21.3852645059718,21.3847951671923,6,3,0
13.85,0.00778056472442412,77.1666666666667,0,44.2712876372071,-12.5374972508226,21.7310060497734,21.758733477723,6,4,0.000988196732388596
13.4,0.00768532402030347,78.5,0,56.1834309569121,-3.20136381791387,23.6518822183667,23.6518846042578,6,5,0
13.9,0.00768672149540799,76,307.5,66.8028394844287,7.46533967979493,21.5888307574987,21.5888307396402,6,6,0.071628053776008
14.175,0.00769654088686435,74.75,537.5,75.9869701872959,18.0814300117822,21.3641334489118,21.3640609642109,6,7,0
15.55,0.00773542285892816,68.75,660.25,85.1804575108826,29.1293358317422,22.6310849788436,22.6310849803825,6,8,0.0195917139722674
17.75,0.00773200473163048,59.75,750.75,95.2031600026837,40.32684996543,21.943862271472,21.9438622446643,6,9,0.116903255100208
20.25,0.00763764425975183,50.5,822.25,107.472317270511,51.3094044322049,22.1453688787337,22.146122745204,6,10,1.11536404715687
23.35,0.00763080355109962,41.75,874.25,124.923404629315,61.384136087095,23.3746175792318,23.3746177885555,6,11,3.35546018246763
25.7,0.00767897999502186,36.5,902.5,153.296058549547,68.8227365998029,23.5148264960137,23.5175384386208,6,12,3.62623927179204
28.2,0.00761363185414315,31.25,905.75,193.474012742164,70.1629383893333,23.0435180296375,23.0407091577803,6,13,5.29912898031766
29.825,0.0076280022442632,28.5,886.25,226.83446945257,64.4055887606388,22.2596875561645,22.250766021904,6,14,6.58694324307003
30.975,0.00779165869347891,27.25,841.75,247.290691084198,54.959870118781,22.9223545299744,22.9286694225183,6,15,7.37665103129842
30.45,0.00783963787389748,28.25,777.25,260.901201457818,44.1830182840894,21.6444766951659,21.6422443546204,6,16,7.29427481787769
29.575,0.00785164124794502,29.75,693.25,271.492559620272,33.0097950537176,22.8515305077201,22.8518124173542,6,17,6.41832254055889
27.9,0.00784372151591998,32.75,586.25,280.861495386424,21.8766544352741,23.0232762331945,23.0255734375372,6,18,3.85944889179114
26,0.00787260759220214,36.75,430.5,289.974726097215,11.0793193658593,22.8044249427227,22.8030704538263,6,19,2.81461820668336
23.35,0.0079547483320583,43.5,97,299.478247962444,0.902641314126558,22.0389285269913,22.0389285120114,6,20,1.48272446951405
21.275,0.00797849919730966,49.5,0,309.888932855574,-8.31475400938555,22.0931993686715,22.0932041047847,6,21,0.0566348867164916
19.575,0.00805522705812808,55.5,0,321.629696792666,-16.1406908167879,21.5144439197122,21.5144432304946,6,22,0
