outDryBulbTemp,outHumidityRatio,outRelHumidity,directSolarRad,solAzimAngle,solAltAngle,zoneMeanAirTemp,setpoint,month,hour,totCLG
17.8,0.00799059767769986,59,0,0.304181511982646,-25.9642363972962,22.9738523093215,22.9670793036258,6,0,0
15,0.00724315415579779,64,0,15.5866489380054,-24.4209501397193,22.6448412417581,22.6393577521762,6,1,0
13.9,0.00727306563305821,69,0,29.8836021338782,-20.1094275333032,21.7651489068997,21.7539878502868,6,2,0
12.8,0.00735902643085596,75,0,42.6846387739005,-13.5141323284597,21.1292181893349,21.1204691536657,6,3,0
12.2,0.00726218843575029,77,0,53.9903232615,-5.1955633857979,21.6981006355251,21.7001262377211,6,4,0
11.7,0.00730076399765354,80,22,64.1169411129598,4.34839255943899,22.0827300621521,22.0833388087496,6,5,0
12.8,0.00725976081607326,74,66,73.5243052354421,14.7206011831448,22.8950848370343,22.9003651050371,6,6,0
13.9,0.00716644438975313,68,133.5,82.7672046809838,25.6040235275028,23.9543562218547,23.9582942886661,6,7,0
14.4,0.00707495323038362,65,102,92.5775150737242,36.7137578757181,21.6284315713644,21.6214699384349,6,8,0
16.7,0.00706391610529346,56,25,104.13208601267,47.7162039224247,23.2655944265772,23.2712518246673,6,9,0
18.3,0.00683568785372341,49,26.5,119.722045855935,58.0470539039928,23.6542195909516,23.6589843288913,6,10,0
20,0.00682443456267592,44,160.5,143.971279018891,66.4049554243566,22.4279040942882,22.4166895784909,6,11,0
21.7,0.00688895764729557,40,173,180.79480997278,69.8736646995625,21.4877302014819,21.4767405782182,6,12,0.0300708744490762
23.3,0.00664069354035495,35,53,217.223208189194,66.1438206223993,23.4270676517345,23.4327623569461,6,13,0
23.9,0.00668895926397425,34,59.5,241.014635862793,57.6655468342061,22.4341632288987,22.4295232581508,6,14,0
24.4,0.00648511988087182,32,61,256.377712764216,47.2912778670338,21.3531340832039,21.3488625967385,6,15,0.14605362375283
23.9,0.00668895926397425,34,127,267.831112764127,36.2764319563964,23.6201208236673,23.6271618383539,6,16,0
22.8,0.00662672616222482,36,128.5,277.601200167158,25.1699844411526,22.9154208684941,22.905559138389,6,17,0
21.1,0.00663761287694901,40,57.5,286.838440651825,14.3012666936837,21.3001469029625,21.2918440472749,6,18,0
19.4,0.00672322872107677,45,28,296.264312629322,3.95523592999889,23.7174332113405,23.7253183687189,6,19,0
18.3,0.00669468247029335,48,0,306.42921628414,-5.54868383222536,21.1130093289874,21.1050480645309,6,20,0.023368026607616
16.7,0.0068088716253892,54,0,317.789085740072,-13.8095456483599,21.1198538825075,21.1192490823384,6,21,0
15.6,0.00693634018957667,59,0,330.651753647347,-20.325733266217,23.9627691916572,23.9657036736788,6,22,0
14.4,0.00685486318313227,63,0,345.000789768217,-24.5363963086393,23.0701314485968,23.058544795381,6,23,0
13.9,0.00695331026245665,66,0,0.26578759219579,-25.8265570521838,22.1369431577164,22.1300675782141,6,0,0
13.9,0.00705985927233841,67,0,15.5177328657227,-24.2936435535411,22.5122940284051,22.5129727583966,6,1,0
12.8,0.00706132349984622,72,0,29.791970682787,-19.9965585933518,23.2838825236714,23.2904870378613,6,2,0
13.3,0.0070937374140711,70,0,42.5784286363009,-13.4167690018936,21.1530038392287,21.1466243903385,6,3,0
12.8,0.00706132349984622,72,0,53.8747530167114,-5.11249807984531,23.1747573365381,23.1777829697816,6,4,0
12.2,0.00707141561197178,75,253.5,63.9937705858946,4.41956984156082,23.107092160213,23.1039841757941,6,5,0
13.3,0.00699125922336382,69,580,73.3923941706242,14.7828603866151,22.3855479798707,22.3766724774375,6,6,0
13.9,0.00695331026245665,66,520.5,82.6229016570088,25.6607865651566,22.7429951986554,22.7468844268658,6,7,0
15,0.00689986484636264,61,339,92.4144944016752,36.7692821434224,22.0285390914119,22.0172694038545,6,8,0
17.2,0.00676751767259689,52,309,103.94105184822,47.7766038053467,21.521936640295,21.5118762409997,6,9,0
19.4,0.00672322872107677,45,462,119.494423520528,58.1223388328725,22.1851250901005,22.1975802117017,6,10,0
21.7,0.00654088747026228,38,619.5,143.733319551009,66.5103812145925,23.7514014958008,23.7593315836331,6,11,0
