outDryBulbTemp,outHumidityRatio,outRelHumidity,directSolarRad,solAzimAngle,solAltAngle,zoneMeanAirTemp,zoneCLGstp,month,hour,outDryBulbTempPrev,outHumidityRatioPrev,outRelHumidityPrev,directSolarRadPrev,solAzimAnglePrev,solAltAnglePrev,zoneMeanAirTempPrev,zoneCLGstpPrev,hourPrev,totCLGPrev,totCLG
18.9,0.00838275749782552,60,0,14.9478579995536,-24.9517655758214,19.0392589602908,21.1762956303006,6,1,18.9,0.00852438491778762,61,0,0.409055895741208,-26.3737637017054,20.2883135099155,23.0497150283711,0,0,0
16.7,0.00826918925664006,68,0,29.3321535661288,-20.7197251989126,17.8857598098252,21.1572966410247,6,2,18.9,0.00838275749782552,60,0,14.9478579995536,-24.9517655758214,19.0392589602908,21.1762956303006,1,0,0
14.4,0.00828972941330429,79,0,42.1988101136479,-14.1634097022855,16.0702749282135,23.1990800982004,6,3,16.7,0.00826918925664006,68,0,29.3321535661288,-20.7197251989126,17.8857598098252,21.1572966410247,2,0,0
12.2,0.00817931643974088,90,0,53.5323449067957,-5.85232308627684,14.0461713790934,22.0408549328542,6,4,14.4,0.00828972941330429,79,0,42.1988101136479,-14.1634097022855,16.0702749282135,23.1990800982004,3,0,0
12.8,0.0082250922992077,87,28,63.6463600641309,3.70658959953608,13.2113239113764,23.1330320013924,6,5,12.2,0.00817931643974088,90,0,53.5323449067957,-5.85232308627684,14.0461713790934,22.0408549328542,4,0,0
12.8,0.00812931534815577,86,61,73.000828303239,14.110518197227,14.0950127050596,23.1034405970084,6,6,12.8,0.0082250922992077,87,28,63.6463600641309,3.70658959953608,13.2113239113764,23.1330320013924,5,0,0
13.9,0.00802189937596808,79,144.5,82.1462095290063,25.040869802383,15.7660047513214,23.1200261265621,6,7,12.8,0.00812931534815577,86,61,73.000828303239,14.110518197227,14.0950127050596,23.1034405970084,6,0,0
14.4,0.00797089528992154,76,251.5,91.7996552175385,36.2160098681774,18.2896728646649,23.0912382094982,6,8,13.9,0.00802189937596808,79,144.5,82.1462095290063,25.040869802383,15.7660047513214,23.1200261265621,7,0,0
16.7,0.00789973855789491,65,393.5,103.104331611825,47.3133981916326,21.7795454938789,23.2653956968934,6,9,14.4,0.00797089528992154,76,251.5,91.7996552175385,36.2160098681774,18.2896728646649,23.0912382094982,8,0,0
17.8,0.00781670626097313,60,423.5,118.291857418597,57.7965269765769,22.4808194944419,22.490987902623,6,10,16.7,0.00789973855789491,65,393.5,103.104331611825,47.3133981916326,21.7795454938789,23.2653956968934,9,0,0
20,0.00777206690809404,52,356,142.005670625561,66.4230628035133,21.4059802965994,21.4010050987934,6,11,17.8,0.00781670626097313,60,423.5,118.291857418597,57.7965269765769,22.4808194944419,22.490987902623,10,0,0
21.1,0.00783866627574842,49,477.5,178.913708084779,70.2823845976978,22.1157052947182,22.1249226259291,6,12,20,0.00777206690809404,52,356,142.005670625561,66.4230628035133,21.4059802965994,21.4010050987934,11,0,0.168997983843588
22.2,0.00769803914159508,45,737.5,216.382062750205,66.7798909752627,22.1322213969008,22.1349183468768,6,13,21.1,0.00783866627574842,49,477.5,178.913708084779,70.2823845976978,22.1157052947182,22.1249226259291,12,0.168997983843588,0.62988239974774
22.8,0.00762819011752773,43,875,240.726887750106,58.3139204730995,21.0731626567361,21.0722127668731,6,14,22.2,0.00769803914159508,45,737.5,216.382062750205,66.7798909752627,22.1322213969008,22.1349183468768,13,0.62988239974774,0.609838770852182
22.8,0.00762819011752773,43,785,256.219972225564,47.8875472253614,21.3933235195717,21.3983936204413,6,15,22.8,0.00762819011752773,43,875,240.726887750106,58.3139204730995,21.0731626567361,21.0722127668731,14,0.609838770852182,0.248212002513558
22.8,0.00762819011752773,43,704.5,267.659150180121,36.8059446488467,22.4090773236233,22.4152565586983,6,16,22.8,0.00762819011752773,43,785,256.219972225564,47.8875472253614,21.3933235195717,21.3983936204413,15,0.248212002513558,0.00424589173639008
22.2,0.00769803914159508,45,526.5,277.365389836933,25.6259912840556,21.6034332697544,21.5962740011823,6,17,22.8,0.00762819011752773,43,704.5,267.659150180121,36.8059446488467,22.4090773236233,22.4152565586983,16,0.00424589173639008,0
20.6,0.00775524400246038,50,225,286.517444575608,14.6757675805959,21.7092632282308,21.7110368183111,6,18,22.2,0.00769803914159508,45,526.5,277.365389836933,25.6259912840556,21.6034332697544,21.5962740011823,17,0,0
18.9,0.00767557372159714,55,47,295.846262986616,4.23671444366577,21.9720753753456,23.3907310008831,6,19,20.6,0.00775524400246038,50,225,286.517444575608,14.6757675805959,21.7092632282308,21.7110368183111,18,0,0
17.8,0.00781670626097313,60,0,305.907984726337,-5.37588261467644,19.352103590719,23.0845638435189,6,20,18.9,0.00767557372159714,55,47,295.846262986616,4.23671444366577,21.9720753753456,23.3907310008831,19,0,0
16.7,0.00777668456003915,64,0,317.167583595623,-13.7644745555897,17.6347219239856,22.9984055192473,6,21,17.8,0.00781670626097313,60,0,305.907984726337,-5.37588261467644,19.352103590719,23.0845638435189,20,0,0
15.6,0.00781627547811867,69,0,329.949951861845,-20.4273232806369,16.4073208148202,21.5190096812538,6,22,16.7,0.00777668456003915,64,0,317.167583595623,-13.7644745555897,17.6347219239856,22.9984055192473,21,0,0
15,0.00773771090724084,71,0,344.262797235427,-24.795571698548,15.4912295584653,22.564350422942,6,23,15.6,0.00781627547811867,69,0,329.949951861845,-20.4273232806369,16.4073208148202,21.5190096812538,22,0,0
14.4,0.00765238358024595,73,0,0.446047443553259,-26.2357460164034,14.8182252587067,22.3033357077183,6,0,15,0.00773771090724084,71,0,344.262797235427,-24.795571698548,15.4912295584653,22.564350422942,23,0,0
13.9,0.00771349242442802,76,0,14.8796961404397,-24.8239948502775,14.2554498547929,23.289070043499,6,1,14.4,0.00765238358024595,73,0,0.446047443553259,-26.2357460164034,14.8182252587067,22.3033357077183,0,0,0
13.3,0.00761192409651078,78,0,29.2407096091743,-20.6064654584164,13.7296281528309,23.9861683471523,6,2,13.9,0.00771349242442802,76,0,14.8796961404397,-24.8239948502775,14.2554498547929,23.289070043499,1,0,0
12.2,0.00762734181231802,84,0,42.0924903415734,-14.0658552191601,13.0182380997465,22.4514847460319,6,3,13.3,0.00761192409651078,78,0,29.2407096091743,-20.6064654584164,13.7296281528309,23.9861683471523,2,0,0
12.2,0.00744356509174966,82,0,53.4166089427174,-5.76931087435274,12.4814080357804,22.0818949426404,6,4,12.2,0.00762734181231802,84,0,42.0924903415734,-14.0658552191601,13.0182380997465,22.4514847460319,3,0,0
11.7,0.00737692471969631,84,197,63.5231116001015,3.77746312049901,12.5020377137218,22.7434910872155,6,5,12.2,0.00744356509174966,82,0,53.4166089427174,-5.76931087435274,12.4814080357804,22.0818949426404,4,0,0
12.2,0.00735171695767357,81,449,72.8689977322615,14.1722159131629,14.7183187948104,22.6770891486972,6,6,11.7,0.00737692471969631,84,197,63.5231116001015,3.77746312049901,12.5020377137218,22.7434910872155,5,0,0
13.3,0.00731571427457008,75,520,82.0021710791323,25.0967816264203,17.1264062061439,22.6372894118286,6,7,12.2,0.00735171695767357,81,449,72.8689977322615,14.1722159131629,14.7183187948104,22.6770891486972,6,0,0
15,0.00718650567698261,66,635.5,91.6370465475588,36.2703161923917,19.6620785987242,23.9863474115636,6,8,13.3,0.00731571427457008,75,520,82.0021710791323,25.0967816264203,17.1264062061439,22.6372894118286,7,0,0
17.2,0.00714208047114258,57,787,102.91358438714,47.3720697081633,23.3893517726748,23.6929840224023,6,9,15,0.00718650567698261,66,635.5,91.6370465475588,36.2703161923917,19.6620785987242,23.9863474115636,8,0,0
19.4,0.00704775427377819,49,862.5,118.063047918808,57.869393223685,21.9000994324636,21.8947247944258,6,10,17.2,0.00714208047114258,57,787,102.91358438714,47.3720697081633,23.3893517726748,23.6929840224023,9,0,0
