outDryBulbTemp,outHumidityRatio,outRelHumidity,directSolarRad,solAzimAngle,solAltAngle,zoneMeanAirTemp,zoneCLGstp,month,hour,outDryBulbTempPrev,outHumidityRatioPrev,outRelHumidityPrev,directSolarRadPrev,solAzimAnglePrev,solAltAnglePrev,zoneMeanAirTempPrev,zoneCLGstpPrev,hourPrev,totCLGPrev,totCLG
18.9,0.00838275749782552,60,0,14.9478579995536,-24.9517655758214,17.1843097413653,23.6892390550754,6,1,18.9,0.00852438491778762,61,0,0.409055895741208,-26.3737637017054,17.9370668350239,21.0635222013935,0,0,0
16.7,0.00826918925664006,68,0,29.3321535661288,-20.7197251989126,15.806847520977,21.0103160013022,6,2,18.9,0.00838275749782552,60,0,14.9478579995536,-24.9517655758214,17.1843097413653,23.6892390550754,1,0,0
14.4,0.00828972941330429,79,0,42.1988101136479,-14.1634097022855,13.8406479136177,22.2696162852524,6,3,16.7,0.00826918925664006,68,0,29.3321535661288,-20.7197251989126,15.806847520977,21.0103160013022,2,0,0
12.2,0.00817931643974088,90,0,53.5323449067957,-5.85232308627684,11.8725761290178,21.5032797802116,6,4,14.4,0.00828972941330429,79,0,42.1988101136479,-14.1634097022855,13.8406479136177,22.2696162852524,3,0,0
12.8,0.0082250922992077,87,28,63.6463600641309,3.70658959953608,12.1530537933439,22.6409902919285,6,5,12.2,0.00817931643974088,90,0,53.5323449067957,-5.85232308627684,11.8725761290178,21.5032797802116,4,0,0
12.8,0.00812931534815577,86,61,73.000828303239,14.110518197227,13.786855898395,21.7410791091623,6,6,12.8,0.0082250922992077,87,28,63.6463600641309,3.70658959953608,12.1530537933439,22.6409902919285,5,0,0
13.9,0.00802189937596808,79,144.5,82.1462095290063,25.040869802383,16.3307772230991,21.8032699803921,6,7,12.8,0.00812931534815577,86,61,73.000828303239,14.110518197227,13.786855898395,21.7410791091623,6,0,0
14.4,0.00797089528992154,76,251.5,91.7996552175385,36.2160098681774,19.352125172306,21.0971104936901,6,8,13.9,0.00802189937596808,79,144.5,82.1462095290063,25.040869802383,16.3307772230991,21.8032699803921,7,0,0
16.7,0.00789973855789491,65,393.5,103.104331611825,47.3133981916326,22.7938330911446,22.793856079569,6,9,14.4,0.00797089528992154,76,251.5,91.7996552175385,36.2160098681774,19.352125172306,21.0971104936901,8,0,0.00430148399318688
17.8,0.00781670626097313,60,423.5,118.291857418597,57.7965269765769,21.4845149927846,21.4845149927847,6,10,16.7,0.00789973855789491,65,393.5,103.104331611825,47.3133981916326,22.7938330911446,22.793856079569,9,0.00430148399318688,1.0505172087095
20,0.00777206690809404,52,356,142.005670625561,66.4230628035133,23.2094882527216,23.237504871254,6,11,17.8,0.00781670626097313,60,423.5,118.291857418597,57.7965269765769,21.4845149927846,21.4845149927847,10,1.0505172087095,1.02097016841866
21.1,0.00783866627574842,49,477.5,178.913708084779,70.2823845976978,23.3453581338848,23.3453581340733,6,12,20,0.00777206690809404,52,356,142.005670625561,66.4230628035133,23.2094882527216,23.237504871254,11,1.02097016841866,1.98754450379488
22.2,0.00769803914159508,45,737.5,216.382062750205,66.7798909752627,22.4915743641943,22.4915743640878,6,13,21.1,0.00783866627574842,49,477.5,178.913708084779,70.2823845976978,23.3453581338848,23.3453581340733,12,1.98754450379488,3.33306687720469
22.8,0.00762819011752773,43,875,240.726887750106,58.3139204730995,21.7969768381397,21.7969768005358,6,14,22.2,0.00769803914159508,45,737.5,216.382062750205,66.7798909752627,22.4915743641943,22.4915743640878,13,3.33306687720469,4.2866588887923
22.8,0.00762819011752773,43,785,256.219972225564,47.8875472253614,22.224551781765,22.2245517891338,6,15,22.8,0.00762819011752773,43,875,240.726887750106,58.3139204730995,21.7969768381397,21.7969768005358,14,4.2866588887923,4.0845262926185
22.8,0.00762819011752773,43,704.5,267.659150180121,36.8059446488467,21.4684025579221,21.4684025503495,6,16,22.8,0.00762819011752773,43,785,256.219972225564,47.8875472253614,22.224551781765,22.2245517891338,15,4.0845262926185,3.5262685991423
22.2,0.00769803914159508,45,526.5,277.365389836933,25.6259912840556,21.3518025379242,21.3518025372121,6,17,22.8,0.00762819011752773,43,704.5,267.659150180121,36.8059446488467,21.4684025579221,21.4684025503495,16,3.5262685991423,2.40517599076212
20.6,0.00775524400246038,50,225,286.517444575608,14.6757675805959,21.78171646531,21.78171646531,6,18,22.2,0.00769803914159508,45,526.5,277.365389836933,25.6259912840556,21.3518025379242,21.3518025372121,17,2.40517599076212,1.38086007746331
18.9,0.00767557372159714,55,47,295.846262986616,4.23671444366577,20.0010716213397,22.1544163486842,6,19,20.6,0.00775524400246038,50,225,286.517444575608,14.6757675805959,21.78171646531,21.78171646531,18,1.38086007746331,0.15022098958775
17.8,0.00781670626097313,60,0,305.907984726337,-5.37588261467644,16.6978030004409,21.1668284767576,6,20,18.9,0.00767557372159714,55,47,295.846262986616,4.23671444366577,20.0010716213397,22.1544163486842,19,0.15022098958775,0
16.7,0.00777668456003915,64,0,317.167583595623,-13.7644745555897,15.5230603538569,23.9551377317424,6,21,17.8,0.00781670626097313,60,0,305.907984726337,-5.37588261467644,16.6978030004409,21.1668284767576,20,0,0
15.6,0.00781627547811867,69,0,329.949951861845,-20.4273232806369,14.5330640086695,21.6134086033827,6,22,16.7,0.00777668456003915,64,0,317.167583595623,-13.7644745555897,15.5230603538569,23.9551377317424,21,0,0
15,0.00773771090724084,71,0,344.262797235427,-24.795571698548,13.8567247670951,21.9226606451737,6,23,15.6,0.00781627547811867,69,0,329.949951861845,-20.4273232806369,14.5330640086695,21.6134086033827,22,0,0
14.4,0.00765238358024595,73,0,0.446047443553259,-26.2357460164034,13.3296145942096,23.9443764620277,6,0,15,0.00773771090724084,71,0,344.262797235427,-24.795571698548,13.8567247670951,21.9226606451737,23,0,0
13.9,0.00771349242442802,76,0,14.8796961404397,-24.8239948502775,12.8544530121586,21.9018711989177,6,1,14.4,0.00765238358024595,73,0,0.446047443553259,-26.2357460164034,13.3296145942096,23.9443764620277,0,0,0
