outDryBulbTemp,outHumidityRatio,outRelHumidity,directSolarRad,solAzimAngle,solAltAngle,zoneMeanAirTemp,zoneHTGstp,month,hour,outDryBulbTempPrev,outHumidityRatioPrev,outRelHumidityPrev,directSolarRadPrev,solAzimAnglePrev,solAltAnglePrev,zoneMeanAirTempPrev,zoneHTGstpPrev,hourPrev,totHTGPrev,totHTG
4.4,0.00436049067099605,82,0,34.6517122166478,-68.4183254263371,19.6543758682048,19.656634994474,1,1,4.4,0.00436049067099605,82,0,5.35459820808143,-71.3568591035469,19.0986913581764,19.1007262138375,0,5.47779050170485,6.02705336143741
3.9,0.00441579774883304,86,0,60.4165123747851,-60.0727438886189,20.6213246693923,20.6222623096268,1,2,4.4,0.00436049067099605,82,0,34.6517122166478,-68.4183254263371,19.6543758682048,19.656634994474,1,6.02705336143741,7.14383828709845
3.9,0.00441579774883304,86,0,76.3056908093825,-49.6526301404012,20.0348907778226,20.0293862349751,1,3,3.9,0.00441579774883304,86,0,60.4165123747851,-60.0727438886189,20.6213246693923,20.6222623096268,2,7.14383828709845,6.30224166904598
3.3,0.00428110329364613,87,0,87.8135719626605,-38.5676988064653,18.8761984537669,18.8712936354516,1,4,3.9,0.00441579774883304,86,0,76.3056908093825,-49.6526301404012,20.0348907778226,20.0293862349751,3,6.30224166904598,6.30544453658481
2.8,0.00432235459942991,91,0,97.4815351090282,-27.3889169997676,18.9454770274316,18.9443182259398,1,5,3.3,0.00428110329364613,87,0,87.8135719626605,-38.5676988064653,18.8761984537669,18.8712936354516,4,6.30544453658481,6.19751632673908
2.2,0.00427789204884138,94,0,106.545897204246,-16.4415413412556,19.6771729631215,19.6797119611594,1,6,2.8,0.00432235459942991,91,0,97.4815351090282,-27.3889169997676,18.9454770274316,18.9443182259398,5,6.19751632673908,6.94621874027955
1.7,0.0042150714774895,96,0,115.746907916174,-5.99992632462883,19.3680211996929,19.3639594618236,1,7,2.2,0.00427789204884138,94,0,106.545897204246,-16.4415413412556,19.6771729631215,19.6797119611594,6,6.94621874027955,6.91028480407654
1.7,0.0042150714774895,96,83.5,125.632901473082,3.6313167966469,20.5688012495958,20.5698547453651,1,8,1.7,0.0042150714774895,96,0,115.746907916174,-5.99992632462883,19.3680211996929,19.3639594618236,7,6.91028480407654,8.32113017781828
2.2,0.00409465568620667,90,310.5,136.655857808438,12.0703812548431,20.977465686834,20.9790315776322,1,9,1.7,0.0042150714774895,96,83.5,125.632901473082,3.6313167966469,20.5688012495958,20.5698547453651,8,8.32113017781828,6.21100633936029
3.9,0.00410568520958384,80,376.5,149.135671966596,18.8365513711857,18.6103211929111,18.6038269517684,1,10,2.2,0.00409465568620667,90,310.5,136.655857808438,12.0703812548431,20.977465686834,20.9790315776322,9,6.21100633936029,3.57375556998813
5.6,0.00410344419720972,71,488.5,163.103813359089,23.3815963034435,19.3032308130151,19.3096511351574,1,11,3.9,0.00410568520958384,80,376.5,149.135671966596,18.8365513711857,18.6103211929111,18.6038269517684,10,3.57375556998813,2.04013013486633
7.2,0.004065580947393,63,432,178.110407197486,25.2153607604135,19.2748877841552,19.2084119998083,1,12,5.6,0.00410344419720972,71,488.5,163.103813359089,23.3815963034435,19.3032308130151,19.3096511351574,11,2.04013013486633,0.26995673123452
8.9,0.0041299439506074,57,204.5,193.245194964508,24.103615075983,19.7213775204132,19.7259355671675,1,13,7.2,0.004065580947393,63,432,178.110407197486,25.2153607604135,19.2748877841552,19.2084119998083,12,0.26995673123452,1.04560665967606
10,0.00413520102321018,53,187,207.533703894104,20.1911596450263,20.9345479957496,20.9407936356253,1,14,8.9,0.0041299439506074,57,204.5,193.245194964508,24.103615075983,19.7213775204132,19.7259355671675,13,1.04560665967606,1.53482303215134
10,0.00413520102321018,53,154,220.395276936825,13.9235614585885,19.8157532580286,19.8073526255116,1,15,10,0.00413520102321018,53,187,207.533703894104,20.1911596450263,20.9345479957496,20.9407936356253,14,1.53482303215134,1.1306648854659
9.4,0.0041971215187405,56,78.5,231.757109062911,5.85047954242797,18.6764773762703,18.6686025649383,1,16,10,0.00413520102321018,53,154,220.395276936825,13.9235614585885,19.8157532580286,19.8073526255116,15,1.1306648854659,1.38071956541448
8.9,0.0042028887069173,58,0,241.886265576704,-3.52465730667251,19.6229614599194,19.6258276263685,1,17,9.4,0.0041971215187405,56,78.5,231.757109062911,5.85047954242797,18.6764773762703,18.6686025649383,16,1.38071956541448,3.66253382871625
7.2,0.0041955176142759,65,0,251.21019294236,-13.7962093265417,18.0795023780947,18.0745507418766,1,18,8.9,0.0042028887069173,58,0,241.886265576704,-3.52465730667251,19.6229614599194,19.6258276263685,17,3.66253382871625,3.79070941141184
6.1,0.00430929559986265,72,0,260.249903391401,-24.6440017034708,18.6443466912867,18.6477842478776,1,19,7.2,0.0041955176142759,65,0,251.21019294236,-13.7962093265417,18.0795023780947,18.0745507418766,18,3.79070941141184,4.43531982457164
5.6,0.00433623586105674,75,0,269.680517752895,-35.7918384900843,18.0985652986849,18.0938514264682,1,20,6.1,0.00430929559986265,72,0,260.249903391401,-24.6440017034708,18.6443466912867,18.6477842478776,19,4.43531982457164,4.40440441196892
5,0.00438107266351112,79,0,280.567865047843,-46.9383288535133,19.1489976726196,19.1512217155021,1,21,5.6,0.00433623586105674,75,0,269.680517752895,-35.7918384900843,18.0985652986849,18.0938514264682,20,4.40440441196892,5.72831685239925
4.4,0.00436049067099605,82,0,295.006011070661,-57.6051046806961,19.8774778886072,19.88089135992,1,22,5,0.00438107266351112,79,0,280.567865047843,-46.9383288535133,19.1489976726196,19.1512217155021,21,5.72831685239925,5.98245421723029
